customer_id,first_name,last_name,gender,email,phone_number,birthdate,address,city,country
1,Zonnya,Helsby,Female,zhelsby0@yale.edu,175-242-5224,7/27/2002,95 Prairie Rose Court,Guhuai,China
2,Kellsie,Farncombe,Female,kfarncombe1@reuters.com,544-393-1574,6/15/1982,239 Main Parkway,Shardara,Kazakhstan
3,Trever,Kaplin,Male,tkaplin2@answers.com,636-763-0339,3/26/1959,1704 Waywood Circle,Campinas,Brazil
4,Sallyanne,Edkins,Female,sedkins3@huffingtonpost.com,478-129-3754,3/4/1980,3 Continental Drive,Rrapë,Albania
5,Bessy,Cartmel,Female,bcartmel4@blog.com,123-974-9937,9/30/1986,64683 Northridge Hill,Kāshān,Iran
6,Jacquetta,Aitkenhead,Female,jaitkenhead5@ucla.edu,476-693-1616,7/1/1955,8 Sutteridge Lane,Shuangmiaojie,China
7,Jena,Collete,Female,jcollete6@merriam-webster.com,724-732-9087,4/12/1983,5457 Sunfield Center,Lizhai,China
8,Ellwood,Blazewicz,Male,eblazewicz7@shop-pro.jp,333-593-5491,1/31/1960,8 Susan Center,Simod,Philippines
9,Carmel,Ugoni,Female,cugoni8@e-recht24.de,467-819-1508,3/28/1966,5756 Morningstar Alley,Arosbaya,Indonesia
10,Desdemona,Skypp,Non-binary,dskypp9@narod.ru,934-754-1558,4/19/1958,551 4th Street,Opinogóra Górna,Poland
11,Ellie,Matskevich,Genderfluid,ematskevicha@cnet.com,520-886-6257,3/23/1987,2 Mockingbird Parkway,Kalidawir,Indonesia
12,Erinn,Haversham,Female,ehavershamb@t-online.de,365-555-0088,8/2/1979,499 Lien Parkway,Žďár nad Sázavou Druhy,Czech Republic
13,Leisha,Winkett,Female,lwinkettc@si.edu,113-412-4984,10/1/1978,7 2nd Park,Radenković,Serbia
14,Gilburt,Folca,Male,gfolcad@yandex.ru,572-960-2012,8/6/1966,554 Spenser Crossing,Atouguia,Portugal
15,Cordie,Isgate,Male,cisgatee@baidu.com,281-536-0325,9/14/1986,381 Shopko Terrace,Filipowice,Poland
16,Zollie,Acory,Male,zacoryf@who.int,877-507-2233,4/27/1984,8 Dovetail Circle,Galatás,Greece
17,Filberte,Treeby,Male,ftreebyg@delicious.com,187-965-1138,12/29/1989,9 Center Pass,Digby,Canada
18,Karina,Labrom,Female,klabromh@shutterfly.com,808-371-8076,7/16/1957,21 Carioca Alley,Villavicencio,Colombia
19,Edvard,Haskins,Male,ehaskinsi@skype.com,984-753-0095,9/22/1968,262 Shopko Avenue,Ouro Branco,Brazil
20,Brett,Blaiklock,Male,bblaiklockj@japanpost.jp,446-324-5198,8/24/1955,694 Corben Pass,Maliq,Albania
21,Guillemette,Busain,Female,gbusaink@photobucket.com,557-457-6168,9/4/1977,3 Bluestem Parkway,Tangwāni,Pakistan
22,Elenore,Edgin,Female,eedginl@redcross.org,981-745-3073,7/10/2000,8 Badeau Parkway,Wujingfu,China
23,Claiborn,McMeanma,Male,cmcmeanmam@reference.com,203-622-9670,3/23/1961,523 Leroy Road,Khārān,Pakistan
24,Xavier,Applegate,Male,xapplegaten@creativecommons.org,607-731-2085,9/21/1986,72 Merchant Pass,Gardinovci,Serbia
25,Doe,Littledyke,Female,dlittledykeo@1und1.de,716-729-0489,2/10/1976,1 Claremont Point,Colombo,Sri Lanka
